700: 21 | 21 (52 s)
701: 21 | 21 (52 s)
702: 21 | 21 (55 s)
703: 21 | 21 (56 s)
704: 21 | 21 (56 s)
705: 21 | 21 (50 s)
706: 20 | 20 (45 s)
707: 20 | 20 (55 s)
708: 20 | 20 (52 s)
709: 20 | 20 (53 s)
710: 20 | 20 (54 s)
711: 20 | 20 (55 s)
712: 20 | 20 (55 s)
713: 20 | 20 (56 s)
714: 20 | 20 (49 s)
715: 20 | 20 (54 s)
716: 20 | 20 (47 s)
717: 20 | 20 (52 s)
718: 20 | 20 (52 s)
719: 20 | 20 (52 s)
720: 20 | 20 (54 s)
721: 20 | 20 (55 s)
722: 20 | 20 (53 s)
723: 20 | 20 (58 s)
724: 20 | 20 (52 s)
725: 20 | 20 (56 s)
726: 20 | 20 (56 s)
727: 20 | 20 (57 s)
728: 20 | 20 (51 s)
729: 20 | 20 (53 s)
730: 20 | 20 (51 s)
731: 20 | 20 (51 s)
732: 20 | 20 (52 s)
733: 20 | 20 (50 s)
734: 20 | 20 (52 s)
735: 20 | 20 (50 s)
736: 20 | 20 (51 s)
737: 20 | 20 (48 s)
738: 20 | 20 (56 s)
739: 20 | 20 (50 s)
740: 20 | 20 (50 s)
741: 20 | 20 (50 s)
742: 20 | 20 (49 s)
743: 20 | 20 (53 s)
744: 20 | 20 (60 s)
745: 20 | 20 (51 s)
746: 20 | 20 (50 s)
747: 20 | 20 (54 s)
748: 20 | 20 (49 s)
749: 20 | 20 (56 s)
750: 20 | 20 (47 s)
751: 20 | 20 (54 s)
752: 20 | 20 (55 s)
753: 20 | 20 (56 s)
754: 20 | 20 (50 s)
755: 20 | 20 (55 s)
756: 20 | 20 (50 s)
757: 20 | 20 (53 s)
758: 20 | 20 (55 s)
759: 20 | 20 (57 s)
760: 20 | 20 (56 s)
761: 20 | 20 (48 s)
762: 20 | 20 (58 s)
763: 20 | 20 (49 s)
764: 20 | 20 (52 s)
765: 20 | 20 (52 s)
766: 20 | 20 (47 s)
767: 20 | 20 (53 s)
768: 20 | 20 (55 s)
769: 20 | 20 (54 s)
770: 20 | 20 (53 s)
771: 20 | 20 (49 s)
772: 20 | 20 (54 s)
773: 20 | 20 (52 s)
774: 20 | 20 (52 s)
775: 20 | 20 (51 s)
776: 20 | 20 (55 s)
777: 20 | 20 (52 s)
778: 20 | 20 (53 s)
779: 20 | 20 (53 s)
780: 20 | 20 (56 s)
781: 20 | 20 (55 s)
782: 20 | 20 (56 s)
783: 20 | 20 (55 s)
784: 20 | 20 (50 s)
785: 20 | 20 (52 s)
786: 20 | 20 (56 s)
787: 20 | 20 (54 s)
788: 20 | 20 (55 s)
789: 20 | 20 (56 s)
790: 20 | 20 (54 s)
791: 20 | 20 (53 s)
792: 20 | 20 (49 s)
793: 20 | 20 (52 s)
794: 20 | 20 (53 s)
795: 20 | 20 (52 s)
796: 20 | 20 (56 s)
797: 20 | 20 (54 s)
798: 20 | 20 (56 s)
799: 20 | 20 (53 s)
800: 20 | 20 (53 s)
801: 20 | 20 (54 s)
802: 20 | 20 (49 s)
803: 20 | 20 (58 s)
804: 20 | 20 (49 s)
805: 20 | 20 (56 s)
806: 20 | 20 (55 s)
807: 20 | 20 (56 s)
808: 20 | 20 (49 s)
809: 20 | 20 (49 s)
810: 20 | 20 (52 s)
811: 20 | 20 (57 s)
812: 20 | 20 (51 s)
813: 20 | 20 (52 s)
814: 20 | 20 (56 s)
815: 20 | 20 (56 s)
816: 20 | 20 (55 s)
817: 20 | 20 (57 s)
818: 20 | 20 (48 s)
819: 20 | 20 (54 s)
820: 20 | 20 (49 s)
821: 20 | 20 (52 s)
822: 20 | 20 (53 s)
823: 20 | 20 (55 s)
824: 20 | 20 (54 s)
825: 20 | 20 (48 s)
826: 20 | 20 (55 s)
827: 20 | 20 (49 s)
828: 20 | 20 (49 s)
829: 20 | 20 (47 s)
